<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20171010;210000;57.9692000;57.9716000;57.9006000;57.9637000;8368
USDRUB;60;20171010;220000;57.9654000;57.9941000;57.8969000;57.9578000;8172
USDRUB;60;20171010;230000;57.9597000;57.9986000;57.8823000;57.9185000;6254
USDRUB;60;20171011;000000;57.9185000;58.0655000;57.8850000;57.9854000;5031
USDRUB;60;20171011;010000;57.9894000;58.1121000;57.9200000;58.0278000;107
USDRUB;60;20171011;020000;58.0080000;58.0440000;57.9328000;57.9354000;247
USDRUB;60;20171011;030000;57.9787000;58.0395000;57.9270000;58.0292000;325
USDRUB;60;20171011;040000;58.0314000;58.0990000;57.9570000;58.0214000;192
USDRUB;60;20171011;050000;58.0211000;58.0315000;57.9020000;57.9433000;224
USDRUB;60;20171011;060000;57.9494000;58.0330000;57.9129000;57.9783000;916
USDRUB;60;20171011;070000;57.9884000;58.0337000;57.9020000;57.9849000;200
USDRUB;60;20171011;080000;57.9851000;58.0227000;57.9020000;57.9449000;346
USDRUB;60;20171011;090000;57.9512000;58.0529000;57.9165000;58.0105000;535
USDRUB;60;20171011;100000;58.0117000;58.0293000;57.8208000;57.8935000;2247
USDRUB;60;20171011;110000;57.9166000;58.0087000;57.7917000;57.8595000;21274
USDRUB;60;20171011;120000;57.8579000;57.9140000;57.7786000;57.8787000;17477
USDRUB;60;20171011;130000;57.8814000;57.9065000;57.7763000;57.8973000;15407
USDRUB;60;20171011;140000;57.8973000;57.8973000;57.7167000;57.7716000;15461
USDRUB;60;20171011;150000;57.7693000;57.8890000;57.7187000;57.7948000;16559
USDRUB;60;20171011;160000;57.8060000;57.8790000;57.7204000;57.8020000;18398
USDRUB;60;20171011;170000;57.8000000;57.8580000;57.7366000;57.8250000;19179
USDRUB;60;20171011;180000;57.8432000;57.9190000;57.7832000;57.9011000;16451
USDRUB;60;20171011;190000;57.9013000;57.9133000;57.7988000;57.8630000;14477
USDRUB;60;20171011;200000;57.8579000;57.8823000;57.7878000;57.8663000;9330
USDRUB;60;20171011;210000;57.8671000;57.8807000;57.8035000;57.8687000;8251
USDRUB;60;20171011;220000;57.8769000;57.8810000;57.7514000;57.8082000;12364
USDRUB;60;20171011;230000;57.8060000;57.8257000;57.7339000;57.7766000;7203
USDRUB;60;20171012;000000;57.7757000;57.8398000;57.7570000;57.7610000;6152
USDRUB;60;20171012;010000;57.7742000;57.8220000;57.7041000;57.7890000;138
USDRUB;60;20171012;020000;57.7963000;57.8231000;57.7757000;57.7882000;393
USDRUB;60;20171012;030000;57.8090000;57.8448000;57.7660000;57.7772000;576
USDRUB;60;20171012;040000;57.8068000;57.8237000;57.7638000;57.8005000;525
USDRUB;60;20171012;050000;57.8061000;57.8191000;57.7710000;57.7805000;866
USDRUB;60;20171012;060000;57.8162000;57.8196000;57.7747000;57.7848000;756
USDRUB;60;20171012;070000;57.8177000;57.8198000;57.7630000;57.7857000;740
USDRUB;60;20171012;080000;57.7790000;57.7873000;57.7021000;57.7280000;1343
USDRUB;60;20171012;090000;57.7500000;57.8135000;57.7100000;57.7458000;966
USDRUB;60;20171012;100000;57.7493000;57.8140000;57.5750000;57.7010000;2427
USDRUB;60;20171012;110000;57.6886000;57.7655000;57.5864000;57.6498000;20654
USDRUB;60;20171012;120000;57.6492000;57.6702000;57.5674000;57.6463000;14457
USDRUB;60;20171012;130000;57.6641000;57.7062000;57.5881000;57.7013000;12632
USDRUB;60;20171012;140000;57.6911000;57.7448000;57.6191000;57.7123000;14329
USDRUB;60;20171012;150000;57.7261000;57.7264000;57.6166000;57.7154000;15252
USDRUB;60;20171012;160000;57.7124000;57.7908000;57.6237000;57.7372000;19183
USDRUB;60;20171012;170000;57.7361000;57.7824000;57.6823000;57.7730000;17802
USDRUB;60;20171012;180000;57.7730000;57.8399000;57.6609000;57.7447000;18509
USDRUB;60;20171012;190000;57.7599000;57.7599000;57.6080000;57.6566000;17649
USDRUB;60;20171012;200000;57.6701000;57.7460000;57.5785000;57.7415000;13387
USDRUB;60;20171012;210000;57.7417000;57.7550000;57.6103000;57.6769000;10328
USDRUB;60;20171012;220000;57.6644000;57.6836000;57.5803000;57.6621000;9340
USDRUB;60;20171012;230000;57.6562000;57.7117000;57.6067000;57.7065000;6347
USDRUB;60;20171013;000000;57.6966000;57.7377000;57.6652000;57.6852000;4744
USDRUB;60;20171013;010000;57.6792000;57.7620000;57.6023000;57.6420000;163
USDRUB;60;20171013;020000;57.6545000;57.6662000;57.4585000;57.5329000;124
USDRUB;60;20171013;030000;57.5454000;57.6484000;57.4813000;57.5329000;66
USDRUB;60;20171013;040000;57.6155000;57.6870000;57.4923000;57.5963000;70
USDRUB;60;20171013;050000;57.6088000;57.6751000;57.5784000;57.6196000;207
USDRUB;60;20171013;060000;57.6628000;57.6775000;57.5832000;57.6104000;104
USDRUB;60;20171013;070000;57.6550000;57.6980000;57.5935000;57.6445000;56
USDRUB;60;20171013;080000;57.6615000;57.7614000;57.6048000;57.6567000;859
USDRUB;60;20171013;090000;57.6770000;57.8602000;57.6416000;57.8249000;827
USDRUB;60;20171013;100000;57.7902000;57.8516000;57.6517000;57.6874000;1584
USDRUB;60;20171013;110000;57.6873000;57.7444000;57.4988000;57.5830000;19549
USDRUB;60;20171013;120000;57.5840000;57.6094000;57.4963000;57.6078000;11737
USDRUB;60;20171013;130000;57.6079000;57.6915000;57.5513000;57.6842000;11705
USDRUB;60;20171013;140000;57.6780000;57.6925000;57.5941000;57.6684000;11647
USDRUB;60;20171013;150000;57.6822000;57.7221000;57.6197000;57.6480000;13790
USDRUB;60;20171013;160000;57.6856000;57.6868000;57.2361000;57.3290000;27426
USDRUB;60;20171013;170000;57.3110000;57.3886000;57.0642000;57.1213000;23787
USDRUB;60;20171013;180000;57.1361000;57.2434000;57.0704000;57.1745000;20114
USDRUB;60;20171013;190000;57.1954000;57.2289000;57.0519000;57.1555000;17255
USDRUB;60;20171013;200000;57.1692000;57.1716000;57.0071000;57.1228000;12299
USDRUB;60;20171013;210000;57.1213000;57.2327000;57.0782000;57.1993000;10169
USDRUB;60;20171013;220000;57.1953000;57.2227000;57.1028000;57.1700000;9509
USDRUB;60;20171013;230000;57.1718000;57.1870000;57.1165000;57.1827000;4355
USDRUB;60;20171014;000000;57.1762000;57.5125000;56.9068000;57.3115000;4140
USDRUB;60;20171014;010000;57.3260000;57.3260000;57.1900000;57.2012000;19
USDRUB;60;20171014;020000;57.2012000;57.2029000;57.1900000;57.2029000;10
USDRUB;60;20171015;200000;57.1900000;57.1900000;57.1900000;57.1900000;12
USDRUB;60;20171015;210000;57.1900000;57.1900000;57.1900000;57.1900000;12
USDRUB;60;20171015;220000;57.1900000;57.2150000;57.1614000;57.1679000;26
USDRUB;60;20171015;230000;57.1922000;57.1922000;57.1545000;57.1623000;24
USDRUB;60;20171016;000000;57.1922000;57.2490000;57.1425000;57.2490000;25
USDRUB;60;20171016;010000;57.2022000;57.2624000;57.1623000;57.2224000;33
USDRUB;60;20171016;020000;57.2349000;57.3591000;57.1563000;57.2681000;43
USDRUB;60;20171016;030000;57.2265000;57.2990000;56.9885000;57.2541000;103
USDRUB;60;20171016;040000;57.2472000;57.3447000;57.1000000;57.1586000;94
USDRUB;60;20171016;050000;57.1593000;57.3583000;57.1000000;57.3000000;121
USDRUB;60;20171016;060000;57.2733000;57.3794000;57.2360000;57.3485000;73
USDRUB;60;20171016;070000;57.3610000;57.3816000;57.2325000;57.2325000;110
USDRUB;60;20171016;080000;57.2787000;57.3494000;57.0169000;57.2260000;122
USDRUB;60;20171016;090000;57.2421000;57.3660000;57.0403000;57.3048000;601
USDRUB;60;20171016;100000;57.3077000;57.3236000;57.1319000;57.1555000;4139
USDRUB;60;20171016;110000;57.1567000;57.1867000;56.9384000;57.1417000;23492
USDRUB;60;20171016;120000;57.1265000;57.2354000;57.0833000;57.2354000;12946
USDRUB;60;20171016;130000;57.2276000;57.3065000;57.1513000;57.1880000;15310
USDRUB;60;20171016;140000;57.2260000;57.2690000;57.1655000;57.2037000;11362
USDRUB;60;20171016;150000;57.2384000;57.2730000;57.0989000;57.1805000;14501
USDRUB;60;20171016;160000;57.1805000;57.2003000;57.0594000;57.1480000;17876
USDRUB;60;20171016;170000;57.1581000;57.2684000;57.0933000;57.2550000;18051
USDRUB;60;20171016;180000;57.2521000;57.2914000;57.1866000;57.2617000;19073
USDRUB;60;20171016;190000;57.2571000;57.3515000;57.1863000;57.2916000;15301
USDRUB;60;20171016;200000;57.2909000;57.3394000;57.2391000;57.2931000;8634
USDRUB;60;20171016;210000;57.3040000;57.3769000;57.2588000;57.3405000;8813
USDRUB;60;20171016;220000;57.3456000;57.3473000;57.2275000;57.3237000;9871
USDRUB;60;20171016;230000;57.3274000;57.3359000;57.2538000;57.2826000;5822
USDRUB;60;20171017;000000;57.2992000;57.3160000;57.1515000;57.1972000;5094
USDRUB;60;20171017;010000;57.2426000;57.3499000;57.1965000;57.3094000;73
USDRUB;60;20171017;020000;57.3174000;57.3479000;57.1700000;57.1990000;102
USDRUB;60;20171017;030000;57.2193000;57.3064000;57.1726000;57.2801000;97
USDRUB;60;20171017;040000;57.2508000;57.3066000;57.1677000;57.1980000;211
USDRUB;60;20171017;050000;57.2408000;57.3209000;57.1870000;57.2479000;108
USDRUB;60;20171017;060000;57.2562000;57.3259000;57.0975000;57.2661000;155
USDRUB;60;20171017;070000;57.2786000;57.3584000;57.2475000;57.2620000;214
USDRUB;60;20171017;080000;57.2870000;57.3839000;57.2475000;57.3622000;161
USDRUB;60;20171017;090000;57.3570000;57.3815000;57.2475000;57.3580000;331
